review_text,rating,review_date,helpful_votes,verified_purchase,sentiment_score,sentiment_label,aspects,strength_mentioned,weakness_mentioned,product_id,brand
Purchased as a gift and the recipient loved it. spacious compartments is genuinely impressive for this price.,4,2024-08-13,17,True,0.885,positive,"{""size"": ""positive"", ""price"": ""positive""}",spacious compartments,,P0001,Safari
Purchased as a gift and the recipient loved it. spacious compartments is genuinely impressive for this price.,4,2025-10-31,13,True,0.82,positive,"{""size"": ""positive"", ""price"": ""positive""}",spacious compartments,,P0001,Safari
Great product! The durable build is exactly what I needed. My family loves it.,5,2025-04-21,38,True,1.0,positive,"{""durability"": ""positive""}",durable build,,P0001,Safari
Great product! The good zippers is exactly what I needed. My family loves it.,5,2025-03-17,5,True,0.897,positive,"{""zipper"": ""positive""}",good zippers,,P0001,Safari
Not worth the price. lock quality is a real problem. Customer care was unhelpful.,2,2026-02-21,42,True,0.147,negative,"{""durability"": ""negative"", ""price"": ""negative""}",,lock quality,P0001,Safari
Great product! The durable build is exactly what I needed. My family loves it.,5,2024-12-30,40,True,0.867,positive,"{""durability"": ""positive""}",durable build,,P0001,Safari
Been using for 6 months now. smooth wheels still as good as day one. Very satisfied.,5,2024-05-09,41,False,1.0,positive,"{""wheels"": ""positive""}",smooth wheels,,P0001,Safari
Excellent quality. spacious compartments is better than expected. Highly recommend.,5,2024-06-22,44,True,1.0,positive,"{""size"": ""positive"", ""durability"": ""positive""}",spacious compartments,,P0001,Safari
Really happy with this Safari luggage. The durable build is excellent. Bought for a trip to Goa and it handled everything perfectly.,5,2025-02-22,17,False,1.0,positive,"{""handle"": ""positive"", ""durability"": ""positive""}",durable build,,P0001,Safari
Do not buy! The handle wobble is terrible. Safari should improve quality control.,2,2024-06-19,29,False,0.106,negative,"{""handle"": ""negative"", ""durability"": ""negative""}",,handle wobble,P0001,Safari
Purchased as a gift and the recipient loved it. smooth wheels is genuinely impressive for this price.,5,2025-02-24,23,True,1.0,positive,"{""wheels"": ""positive"", ""price"": ""positive""}",smooth wheels,,P0001,Safari
Decent product. good zippers is good but handle wobble needs improvement. 3 stars.,3,2025-12-17,9,True,0.6,neutral,"{""handle"": ""neutral"", ""zipper"": ""neutral""}",good zippers,handle wobble,P0001,Safari
Disappointed with this purchase. The lock quality started showing after just 2 trips. Expected better from Safari.,1,2024-08-06,29,True,0.0,negative,"{""durability"": ""negative""}",,lock quality,P0001,Safari
Decent product. durable build is good but lock quality needs improvement. 3 stars.,3,2024-05-10,34,True,0.405,neutral,"{""durability"": ""neutral""}",durable build,lock quality,P0001,Safari
Been using for 6 months now. smooth wheels still as good as day one. Very satisfied.,5,2024-12-30,0,True,0.905,positive,"{""wheels"": ""positive""}",smooth wheels,,P0001,Safari
Not worth the price. lock quality is a real problem. Customer care was unhelpful.,2,2025-12-21,40,True,0.191,negative,"{""durability"": ""negative"", ""price"": ""negative""}",,lock quality,P0001,Safari
The spacious compartments is outstanding. Packaging was good too. 5 stars.,5,2024-10-03,33,True,1.0,positive,"{""size"": ""positive""}",spacious compartments,,P0001,Safari
Great product! The good zippers is exactly what I needed. My family loves it.,5,2025-05-29,15,False,0.98,positive,"{""zipper"": ""positive""}",good zippers,,P0001,Safari
Do not buy! The handle wobble is terrible. Safari should improve quality control.,2,2026-01-28,34,True,0.187,negative,"{""handle"": ""negative"", ""durability"": ""negative""}",,handle wobble,P0001,Safari
"Delivered on time, product is solid. The good zippers impressed me. Would recommend to everyone.",4,2024-07-26,27,True,0.784,positive,"{""zipper"": ""positive""}",good zippers,,P0001,Safari
Average experience. spacious compartments works fine but not blown away. Expected more from Safari.,3,2025-02-24,42,True,0.392,neutral,"{""size"": ""neutral""}",spacious compartments,lock quality,P0001,Safari
Value for money purchase. good zippers is top notch. Already recommended to 3 friends.,4,2025-04-27,1,True,0.688,positive,"{""zipper"": ""positive"", ""price"": ""positive""}",good zippers,,P0001,Safari
Great product! The spacious compartments is exactly what I needed. My family loves it.,5,2026-02-07,14,False,0.96,positive,"{""size"": ""positive""}",spacious compartments,,P0001,Safari
Value for money purchase. smooth wheels is top notch. Already recommended to 3 friends.,4,2024-11-27,13,True,0.737,positive,"{""wheels"": ""positive"", ""price"": ""positive""}",smooth wheels,,P0001,Safari
Excellent quality. good zippers is better than expected. Highly recommend.,5,2025-09-26,6,False,1.0,positive,"{""zipper"": ""positive"", ""durability"": ""positive""}",good zippers,,P0001,Safari
Excellent quality. good zippers is better than expected. Highly recommend.,5,2026-02-12,43,True,0.91,positive,"{""zipper"": ""positive"", ""durability"": ""positive""}",good zippers,,P0001,Safari
The durable build is outstanding. Packaging was good too. 5 stars.,5,2025-12-18,15,True,1.0,positive,"{""durability"": ""positive""}",durable build,,P0001,Safari
"Delivered on time, product is solid. The spacious compartments impressed me. Would recommend to everyone.",4,2025-07-27,4,True,0.778,positive,"{""size"": ""positive""}",spacious compartments,,P0001,Safari
Do not buy! The handle wobble is terrible. Safari should improve quality control.,3,2026-03-24,5,True,0.364,neutral,"{""handle"": ""neutral"", ""durability"": ""neutral""}",,handle wobble,P0001,Safari
Average product. The colour fading is a major issue. Would not buy again.,2,2025-02-22,3,True,0.282,negative,"{""design"": ""negative""}",,colour fading,P0001,Safari
Excellent quality. good zippers is better than expected. Highly recommend.,4,2024-04-25,35,True,0.651,positive,"{""zipper"": ""positive"", ""durability"": ""positive""}",good zippers,,P0001,Safari
Value for money purchase. spacious compartments is top notch. Already recommended to 3 friends.,5,2024-08-23,34,False,0.87,positive,"{""size"": ""positive"", ""price"": ""positive""}",spacious compartments,,P0001,Safari
Excellent quality. durable build is better than expected. Highly recommend.,5,2024-10-12,10,False,1.0,positive,"{""durability"": ""positive""}",durable build,,P0001,Safari
Great product! The spacious compartments is exactly what I needed. My family loves it.,5,2025-08-11,25,False,1.0,positive,"{""size"": ""positive""}",spacious compartments,,P0001,Safari
Quality is below par. lock quality within a month. Very frustrating experience.,1,2026-01-15,26,True,0.093,negative,"{""durability"": ""negative""}",,lock quality,P0001,Safari
Value for money purchase. smooth wheels is top notch. Already recommended to 3 friends.,5,2025-05-22,15,True,0.941,positive,"{""wheels"": ""positive"", ""price"": ""positive""}",smooth wheels,,P0001,Safari
The smooth wheels is outstanding. Packaging was good too. 5 stars.,5,2026-01-24,0,True,0.879,positive,"{""wheels"": ""positive""}",smooth wheels,,P0001,Safari
